Country Name,Country Code,Access to clean fuels and technologies for cooking (% of population),"Access to clean fuels and technologies for cooking, rural (% of rural population)","Access to clean fuels and technologies for cooking, urban (% of urban population)",Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Adequacy of social insurance programs (% of total welfare of beneficiary households),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),Adequacy of social safety net programs (% of total welfare of beneficiary households),Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),Adjusted net national income per capita (current US$),Adjusted savings: education expenditure (current US$),"Adolescent fertility rate (births per 1,000 women ages 15-19)",Adolescents out of school (% of lower secondary school age),"Adolescents out of school, female (% of female lower secondary school age)","Adolescents out of school, male (% of male lower secondary school age)",Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)","Birth rate, crude (per 1,000 people)",Births attended by skilled health staff (% of total),"Children in employment, study and work (% of children in employment, ages 7-14)","Children in employment, total (% of children ages 7-14)","Children in employment, work only (% of children in employment, ages 7-14)",Children out of school (% of primary school age),"Children out of school, female (% of female primary school age)","Children out of school, male (% of male primary school age)","Children out of school, primary","Children out of school, primary, female","Children out of school, primary, male","Community health workers (per 1,000 people)",Compensation of employees (% of expense),Compensation of employees (current LCU),"Compulsory education, duration (years)",Control of Corruption: Estimate,Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Expenditure on primary education (% of government expenditure on education),Expenditure on secondary education (% of government expenditure on education),Expenditure on tertiary education (% of government expenditure on education),"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth (ages 15-24), gender parity index (GPI)","Literacy rate, youth female (% of females ages 15-24)","Literacy rate, youth male (% of males ages 15-24)","Literacy rate, youth total (% of people ages 15-24)",Multidimensional poverty headcount ratio (World Bank) (% of population),Multilateral debt service (% of public and publicly guaranteed debt service),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),People using safely managed drinking water services (% of population),Political Stability and Absence of Violence/Terrorism: Estimate,Pregnant women receiving prenatal care (%),Proportion of people living below 50 percent of median income (%),"School enrollment, primary (gross), gender parity index (GPI)","School enrollment, secondary (gross), gender parity index (GPI)","School enrollment, tertiary (gross), gender parity index (GPI)",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),Terms of trade adjustment (constant LCU),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Unemployment with advanced education (% of total labor force with advanced education),Unemployment with basic education (% of total labor force with basic education),Unemployment with intermediate education (% of total labor force with intermediate education),"Unemployment, total (% of total labor force) (national estimate)",Urban population (% of total population),"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",Wanted fertility rate (births per woman),Women who were first married by age 15 (% of women ages 20-24),Women who were first married by age 18 (% of women ages 20-24),Composite Index,Rank
Azerbaijan,AZE,-3563424858.4780993,-3563424866.6239324,-3563424851.0989323,-3563424850.003099,-3563424850.1864324,-3563424849.8530993,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839418231.9937077,3801912209.920528,-3563424901.3073077,-1456533082.2525833,-1456533081.739681,-1456533082.7116203,45.79975451916667,8.786580622916668,37.01317389666667,-3563424930.4447656,2839415623.3746943,32255922497.50681,32255922467.409855,32255922467.58057,-3563424937.5701423,4262909797.1721044,4262909795.8221745,-3563377295.7447658,4262934213.9136434,4262932431.621977,33968147167.149223,6576710343.756175,7869226999.929875,9.458333333333334,-2879550211.647808,2839415537.903027,2839415661.503861,-3563424935.778172,-3563424933.2993793,-3563424934.5244613,25352810712.96977,25485332453.60962,25598498588.86888,22271558963.15289,22271558963.237957,22271558963.194157,21263910064.088787,21263910117.676968,21263910117.693066,21263910117.6853,8120556991.115447,-3563424913.213077,-3563424862.411858,11382638522.813421,-3563424882.8489633,-2879550211.3543773,24130415469.000496,7154729322.57531,2839415535.824686,14487319854.167421,-1456533088.4485817,22143202162.532925,28799509563.686,7508025421.496674,1608354328.5862014,1608354332.2495365,1608354328.3549526,-3563424939.219349,54.04529166666666,-3563424918.9247403,-3563424910.7925887,-3563424914.8108463,22863314617.534653,24892153482.812508,24892153489.537506,-3.233709854287,149.0
Portugal,PRT,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839430445.697574,12157348657.045527,-3563424932.671057,10459399628.760612,11780614209.932703,11780614209.394688,52.20702662499999,29.685072379583335,22.521954245,-3563424936.653099,12121326046.792442,32255922497.50681,32255922467.409855,32255922467.58057,2839415535.4277973,12928341250.26005,12928341249.689735,2839418715.503861,12805986176.538532,12805972596.89003,33968147167.149223,-3563424916.7886424,13417987743.213568,10.875,-2879550209.798113,-3563424936.3685155,-3563423061.8697658,-3563424942.4863944,-3563424938.484129,-3563424940.3777313,25688762596.91489,25688762605.639526,27833008048.148666,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,6576710335.196544,-2877346213.7682605,-3563424850.476002,-3563424850.8516765,-3563424855.155624,-2879550209.785846,24130415469.000496,4533216832.527288,7508025420.81636,7508025420.876239,7317391794.169072,22143202162.532925,-1523067697.2458332,7508025429.824173,6.6089166666666666,9.002041666666665,9.444666666666668,8.565583333333334,61.353833333333334,-3563424867.6124706,-3563424873.3802876,-3563424870.6105366,22863314617.534653,24892153482.812508,24892153489.537506,-3.307057117180094,150.0
Bulgaria,BGR,-3563424884.36142,-3563424892.310584,-3563424875.511669,-3563424855.2405987,-3563424860.711432,-3563424853.032265,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839420460.835461,4456893443.724694,-3563424905.8425994,2839415539.4038815,3434270054.6170673,3434270054.008553,50.622432085416655,29.39132953166667,21.23110255291667,-3563424936.6697655,6744773601.629886,32255922497.50681,32255922467.409855,32255922467.58057,2839415537.8949223,5532107885.298143,5532107885.279847,2839423761.4621944,5532111826.796202,5532111977.629535,33968147167.149223,-3563424922.0653625,1205624971.1302345,10.083333333333334,-2879550210.8655486,2839415541.4488606,2839415967.2121944,-3563424943.4976406,-3563424940.778871,-3563424942.0563293,31228471035.546177,31228471048.27444,31228471034.49924,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,7313278551.16196,-3563424905.2211413,-3563424850.2678165,-3563424863.1760163,-3563424855.149195,-2879550210.4122963,24130415469.000496,4946307400.970971,7508025420.839213,7508025420.819911,2839415536.027914,22143202162.532925,277485244.7749999,7508025429.807925,4.189500000000001,20.453500000000002,8.803791666666665,9.493041666666665,72.794875,-3563424859.153792,-3563424864.517294,-3563424861.997145,22863314617.534653,24892153482.812508,24892153489.537506,-3.3746830285713703,151.0
Romania,ROU,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424852.1322656,-3563424852.7239323,-3563424851.6322656,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839421487.7970767,7516814507.75386,-3563424908.681349,13439877026.446978,13439877026.764542,13439877026.12203,47.897116356249995,23.958047635833335,23.93906872125,-3563424935.765599,7508025504.97334,32255922497.50681,32255922467.409855,32255922467.58057,7493135983.189839,7493135983.721578,7493135982.639239,7493180240.318019,7493160435.068019,7493155783.901352,33968147167.149223,-3563424922.682331,33167620995.6719,9.75,-2879550210.9090424,2839415539.6692777,2839415930.045528,-3563424944.843699,-3563424943.9044304,-3563424944.3264422,26325013546.324924,26325013557.012253,25459374870.48326,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424909.9833145,-3563424849.7030997,-2735262265.3063865,-3563424867.1085505,-2879550210.474495,9386918879.6635,4946307403.704305,12161745864.484747,7508025420.852748,2839415536.02302,22143202162.532925,42230518197.25,7508025435.569591,3.443166666666666,7.393791666666665,6.908291666666667,6.342124999999999,53.70250000000001,-3563424880.2323203,-3563424880.9237576,-3563424880.640728,22863314617.534653,24892153482.812508,24892153489.537506,-3.380733137513663,152.0
Ireland,IRL,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839448480.0983386,12435701285.087194,-3563424933.6206822,4896654100.459332,11780614209.932703,11780614209.394688,49.84346249541667,18.694335464166663,31.149127029583337,-3563424931.711432,18800532754.424736,32255922497.50681,32255922467.409855,32255922467.58057,2839415535.0344157,12928341250.26005,12928341249.689735,2839416101.3371944,12805986176.538532,12805972596.89003,33968147167.149223,-3563424922.62367,11904309929.463568,10.0,-2879550209.233101,-3563424937.9382224,-3563420497.0978694,-3563424943.2777553,-3563424938.7461834,-3563424940.7531724,22573973709.068512,22573973708.687046,22573973701.18957,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8337822860.871608,-2877346213.7682605,-3563424853.048551,-3563424859.449638,-3563424864.1155353,-2879550209.6851344,24130415469.000496,3523290278.1798954,7508025420.844231,9565263985.51545,2839415535.963381,22143202162.532925,-3038710449.9708333,7508025431.235008,4.353333333333333,12.234166666666669,8.649791666666667,7.564,61.820249999999994,-3563424857.351291,-3563424872.060255,-3563424865.527714,22863314617.534653,24892153482.812508,24892153489.537506,-3.4218737234717223,153.0
United States,USA,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839455370.3850117,694697665534.9205,-3563424916.5789323,9433856870.314997,11780614209.932703,11780614209.394688,50.76974489666668,21.077317958333335,29.692426936666667,-3563424933.1947656,7508025506.79834,32255922497.50681,32255922467.409855,32255922467.58057,8711420676.579582,12484861681.314789,12484861681.31196,8711600029.053473,12484947464.304962,12484950887.138296,33968147167.149223,-3563424933.559129,272257366721.13025,12.0,-2879550209.416696,-3563424930.4940305,-3563417067.695022,-3563424944.6071105,-3563424942.2774777,-3563424943.353699,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,1377872960.4955528,-2877346213.7682605,-1808865176.1026719,-3563424849.8944607,-1808865178.4507914,-2879550210.3572793,24130415469.000496,-3563424928.515599,17186389162.650818,17186389162.651485,6114938797.354843,22143202162.532925,-11607837399.3281,7508025428.193756,3.3737083333333326,9.335749999999999,7.3897916666666665,5.7644166666666665,81.09258333333334,-3563424853.573702,-3563424858.6257415,-3563424856.291776,22863314617.534653,24892153482.812508,24892153489.537506,-3.4278613164462874,154.0
Serbia,SRB,-3563424879.242682,-3563424900.0843487,-3563424862.0051823,-3563424849.890599,-3563424849.890599,-3563424849.9114323,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,4946310948.983218,4266551720.353861,-3563424927.1701407,173869853.57266936,4815796055.59723,4815796055.629705,49.13318822958333,27.167741217499998,21.965447012499997,-3563424936.407265,24129452296.793613,32255922497.50681,32255922467.409855,32255922467.58057,-1808865248.7477274,4885415695.785051,4885415695.849703,-1808859982.6474123,4885418160.661927,4885418394.786927,33968147167.149223,-448884227.5396805,124496907427.21484,8.0,-2879550211.076431,2839415542.7828403,2839415977.48074,-3563424943.1290493,-3563424940.8911686,-3563424941.8605447,25352810712.96977,25485332453.60962,26568793840.175106,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-2735262298.857534,-3563424857.3250184,-3563424852.879139,-3563424873.9173374,-2879550210.969626,24130415469.000496,10725865986.888926,2839415535.836106,2839415535.8578525,-2735262337.9596,22143202162.532925,2080929030.1083324,7508025424.742319,3114540714.1604066,3114540717.33153,3114540717.577822,15.627875000000003,55.050458333333346,-3563424878.1400924,-3563424883.1522846,-3563424880.9561024,22863314617.534653,24892153482.812508,24892153489.537506,-3.4283005267666744,155.0
Greece,GRC,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,4946319951.172934,10101674216.40847,-3563424936.3777657,8301108790.775386,11176310152.578253,11176310152.548273,52.297795365833345,30.39458729666666,21.903208067916665,-3563424936.7989326,15057012841.736906,32255922497.50681,32255922467.409855,32255922467.58057,4043418643.064427,8341999362.073192,8341999361.657392,4043425770.9931645,8342003066.472458,8342001886.514125,33968147167.149223,-3563424920.3609424,14598932719.6719,9.666666666666666,-2879550210.5816045,2839415542.7249637,2839417203.843298,-3563424941.453072,-3563424936.196284,-3563424938.2703857,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,6576710335.359042,-2877346213.7682605,-3563424849.7974,-3563424851.1153564,-3563424850.443646,-2879550210.520246,24130415469.000496,3705054228.762428,8712028527.787628,8712028527.771746,6158482604.914805,22143202162.532925,-2132935586.1541665,7508025427.2241745,11.674791666666664,15.932416666666663,17.713208333333334,15.310874999999996,76.75249999999998,-3563424879.480312,-3563424887.0665307,-3563424884.0136256,22863314617.534653,24892153482.812508,24892153489.537506,-3.4296787685766685,156.0
France,FRA,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839444455.4333262,115064616192.42052,-3563424935.9124737,-3563424943.5422554,1105184941.3633823,1105184941.6493237,57.37893812541666,28.88900692125,28.48993120333334,-3563424933.761432,8703044163.8833,32255922497.50681,32255922467.409855,32255922467.58057,-3563424944.4844337,24556708788.745453,24556708788.922153,-3563384110.7447658,24556726455.51739,24556730932.89239,33968147167.149223,-3563424919.986649,114865658387.79689,10.5,-2879550209.455839,2839415544.917049,2839419315.1065936,-3563424943.376045,-3563424939.484237,-3563424941.3275266,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,6576710333.913211,-2877346213.7682605,-3563424849.7030997,-3563424850.99242,-3563424851.2545314,-2879550210.3054214,24130415469.000496,2839415544.320528,7508025420.842206,7508025420.853203,-3563424944.3846946,22143202162.532925,-11969712609.708334,7508025430.71209,5.616291666666665,14.461291666666668,8.804041666666667,8.887416666666665,78.78383333333333,-3563424857.495404,-3563424863.6781063,-3563424860.7465663,22863314617.534653,24892153482.812508,24892153489.537506,-3.446306585218534,157.0
Lithuania,LTU,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.965599,-3563424849.761432,-3563424850.086432,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839425424.1529803,4306506604.737195,-3563424930.305599,2839415535.104668,11780614209.932703,11780614209.394688,51.314600105000004,27.392494692499998,23.92210541375,-3563424936.390599,2839415626.5871944,32255922497.50681,32255922467.409855,32255922467.58057,10991218033.3565,12928341250.26005,12928341249.689735,10991218157.228891,12805986176.538532,12805972596.89003,33968147167.149223,-3563424924.456158,-1870199097.4114323,10.291666666666666,-2879550210.280163,-3563424939.3385158,-3563424097.953099,-3563424944.335936,-3563424942.547016,-3563424943.452486,24267774981.202732,24267774998.67288,23402136306.61914,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,6576710334.171542,-2877346213.7682605,-3563424854.939152,-3563424859.506308,-3563424865.6102023,-2879550209.965469,24130415469.000496,4718308950.552355,7508025420.8420105,7508025420.828972,2839415536.1368732,22143202162.532925,-499970503.3908334,7508025431.652089,4.730916666666667,21.90625,12.235166666666665,10.04975,67.22833333333334,-3563424860.741617,-3563424865.7665024,-3563424863.228951,22863314617.534653,24892153482.812508,24892153489.537506,-3.544806095074669,158.0
Costa Rica,CRI,-3563424856.6072655,-3563424866.7051826,-3563424851.765599,-3563424850.457266,-3563424851.8114324,-3563424849.823932,14039127016.090307,14039127013.734278,14039127006.657278,18216567501.18736,2839422426.5007777,5062456590.083028,-3563424887.590099,2561912976.970447,2561912976.78813,2561912977.1437244,48.51922335375,11.956732763624998,36.56249058875,-3563424930.624432,11382638535.886187,32255922497.50681,32255922467.409855,32255922467.58057,2561912974.7170863,4323025500.917345,4323025501.099287,2561921983.2735667,4323029655.748632,4323030285.831965,33968147167.149223,-2051387567.4565213,1717109820729.0918,12.083333333333334,-2879550210.1766148,2839415541.6110225,2839416102.489739,-3563424943.646652,-3563424941.346171,-3563424942.1791835,15594437068.887245,15594437063.658834,15594437056.045568,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,4941297906.340318,-3563424906.367698,-3563424851.6813164,-3563424853.4188595,-3563424869.723376,-2879550210.0690436,24130415469.000496,19.637500000000003,3024507653.26041,7693117538.327301,17632310083.382473,22143202162.532925,-633386297187.713,7508025423.48334,736568221.0622073,736568225.4362911,736568226.0734993,828162614.4906527,72.43012499999999,-3563424873.1374145,-3563424877.0000043,-3563424875.5537066,22863314617.534653,24892153482.812508,24892153489.537506,-3.563689592939843,159.0
Cuba,CUB,-3563424863.738516,-3563424876.8510156,-3563424857.5405993,-3563424851.5489326,-3563424857.003099,-3563424849.8489323,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,11382642446.040915,17644805699.44452,-3563424898.0664325,-3563424941.8407207,-3502666534.8874803,-3502666534.7688184,44.599613200833325,18.90495640791667,25.694656792083332,-3563424935.2253075,11382638537.46952,32255922497.50681,32255922467.409855,32255922467.58057,-3563424943.9184327,-1993957366.4470282,-1993957366.5631597,-3563412390.9947658,-1993951212.3724794,-1993951372.2891462,33968147167.149223,2942913802.3481135,1780966706932.684,9.0,-2879550210.517384,2839415544.2941318,7508025971.366574,-3563424943.8646736,-3563424941.4166317,-3563424942.330925,36547997098.69005,36547997100.583244,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-2877346213.7682605,-3563424856.2323174,-3563424862.2922816,-2750398410.421551,-2879550210.2623515,28712505376.413326,7154729322.57531,2839415535.8071575,2839415535.8483577,5435897415.1864805,22143202162.532925,-4566933850.348932,7508025424.939174,5150089740.478618,4903608270.691173,5135914276.179225,15057012764.639322,76.5985,-3563424863.958306,-3563424869.6248393,-3563424867.5067406,22863314617.534653,24892153482.812508,24892153489.537506,-3.6557584998152914,160.0
Czechia,CZE,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.719765,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839427376.289123,9360944340.712194,-3563424934.692557,11661371577.582373,11718801813.738266,11718801813.743597,47.25649031083335,24.78545777458333,22.47103253583333,-3563424935.703099,24030385601.238674,32255922497.50681,32255922467.409855,32255922467.58057,5953956241.887769,7044145224.462972,7044145224.596931,5953961077.796809,7044147348.424596,7044147820.966263,33968147167.149223,-3563424932.3141894,167352908387.7969,1878893413.1359947,-2879550210.279799,2839415541.4438624,2839416723.58942,-3563424943.7711806,-3563424940.9594803,-3563424942.1804104,22573973695.500977,22573973716.552555,22573973699.393112,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,6576710333.2923765,-2877346213.7682605,-3563424849.84288,-3563424850.537937,-3563424852.2575507,-2879550209.8156605,24130415469.000496,4536544998.657323,7508025420.8450775,7508025420.859924,2839415536.0358944,22143202162.532925,147873029.19166693,7508025431.84084,3.0012499999999993,20.069083333333335,5.082833333333333,5.501333333333334,73.68129166666665,-3563424860.998461,-3563424869.397166,-3563424865.749104,22863314617.534653,24892153482.812508,24892153489.537506,-3.6621480542368796,161.0
Andorra,AND,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,3896175210.5365634,17304734644.82691,-3563424937.4271407,8524509525.938792,8524509526.152049,8524509525.734912,38.05586936291667,17.36232899166667,20.69354037083333,17283135917.168648,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,1377872972.0175698,8524509525.904523,8524509525.551496,1377873536.3372192,8524509593.935946,8524509588.9776125,33968147167.149223,2942913802.3481135,1780966706932.684,10.0,-2879550209.5346775,2839415540.927632,2839417986.1046505,-3523901237.0164833,-3523901234.8152995,-3523901235.701012,19365822585.75731,19365822584.47812,19365822573.925198,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-2877346213.7682605,-3563424849.7030997,-3563424849.7030997,-3563424858.673098,-2879550209.4129796,24130415469.000496,7154729322.57531,10539279015.629528,14487319854.167421,2253087244.63372,22143202162.532925,624846228706.2396,7508025429.874591,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,89.1945,-3523901184.063026,-3523901182.1994905,-3523901183.0114126,22863314617.534653,24892153482.812508,24892153489.537506,-3.8227122387587777,162.0
Dominican Republic,DOM,-3563424860.9426823,-3563424877.2010155,-3563424853.992682,-3563424853.753099,-3563424859.5697656,-3563424851.1864324,14497179175.237055,14497179167.423805,14497179163.01213,18216567501.18736,2839420034.5467715,3926974010.2705274,-3563424852.831932,-1686809237.3501422,610018671.0566254,610018670.8728861,57.38895622791665,9.277236459916667,48.11171976958334,-3563424925.0323486,13683606922.049372,32255922497.50681,32255922467.409855,32255922467.58057,-2879550203.7467365,-2142981987.128604,-2142981987.458398,-2879468466.2187314,-2142941829.5574825,-2142942430.1824825,33968147167.149223,-1869623627.9788914,132513427883.20782,12.5,-2879550211.3666854,2839415539.1676464,2839415766.7910876,-3563424943.3480377,-3563424941.214237,-3563424941.9715333,25352810712.96977,25485332453.60962,25410192641.42048,20307913108.42668,20307913108.27907,20307913108.353683,-3563424944.5648904,-3563424851.6380982,-3563424852.926849,-3563424852.289766,1377872961.9497192,-3563424924.02059,-3563424855.30575,-3563424866.044832,-3563424903.7304645,-2879550210.641648,24130415469.000496,-3563424928.4239326,3523290270.5989537,4716031237.915517,20015906652.51915,22143202162.532925,-1566870759.3333333,7508025426.107091,4.971583333333334,6.1695,9.34070833333333,6.302583333333334,74.26116666666665,-3563424879.7144794,-3563424899.687512,-3563424892.601233,22863314617.534653,24892153482.812508,24892153489.537506,-3.8745199641558443,163.0
Belarus,BLR,-3563424851.6114326,-3563424854.6739326,-3563424850.1947656,-3563424854.511432,-3563424859.640599,-3563424852.640599,16881045805.79717,16881045800.840956,16881045785.128265,18216567501.18736,2839419351.5249944,4912671086.083028,-3563424926.617016,-1531259228.933396,1377872962.8083725,1377872962.3714707,45.763434929166664,22.18067583708333,23.582759093333333,-3563424935.4981823,20254839267.60577,32255922497.50681,32255922467.409855,32255922467.58057,-2735262335.8831697,4323025502.029286,4323025500.689322,-2735248875.559071,4323031907.665299,4323029197.581965,33968147167.149223,-3563424926.3034015,-1440601650.4489324,9.166666666666666,-2879550211.0794854,2839415540.133444,2839415793.670528,-3563424945.2236133,-3563424944.7143235,-3563424944.9730153,25352810712.96977,25485332453.60962,21146860985.953083,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,21553789217.186275,-3563424929.460954,-3563424851.219843,-3563424853.879078,-3563424860.407051,-2879550210.607015,24130415469.000496,7508025426.648341,2839415535.8304553,6576710333.83376,-3563424944.3597255,22143202162.532925,-5955755737.9609375,7508025431.123342,16799480310.396265,16799480313.252306,16799480311.262434,1184040015.4156811,75.43862500000002,-3563424852.0530496,-3563424855.617973,-3563424853.8068886,22863314617.534653,24892153482.812508,24892153489.537506,-3.9307529073996594,164.0
Italy,ITA,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839440215.1454654,73614093297.87886,-3563424939.8513074,2839415535.4721684,10725865979.89817,10725865979.837313,53.566068329583345,32.547663995,21.018404334166664,-3563424937.269766,10336145693.008667,32255922497.50681,32255922467.409855,32255922467.58057,2839415535.6263294,10725865980.053976,10725865979.985159,2839435084.7121944,10725874047.37226,10725873560.87226,33968147167.149223,-3563424927.2184963,84199509010.21358,11.5,-2879550210.391207,-3563424937.3147655,-3563422252.7864323,-3563424941.892282,-3563424937.3603406,-3563424939.194357,22573973702.054806,25688762607.187527,22573973697.29036,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,6576710334.921542,-2877346213.7682605,-3563424849.8951,-3563424849.8127446,-3563424854.8023434,-2879550210.246372,24130415469.000496,3523290282.5840626,7508025420.838269,7508025420.837329,2839415536.0862193,22143202162.532925,-2207197893.2916665,7508025427.074173,5.672874999999999,11.89433333333333,8.768083333333335,9.306583333333332,69.055625,-3563424868.1030383,-3563424877.7048707,-3563424873.800628,22863314617.534653,24892153482.812508,24892153489.537506,-4.120339106447085,165.0
Estonia,EST,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.719765,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839427106.8632274,3714416308.512195,-3563424928.8553905,7696346917.223422,8524509523.547025,8524509523.562947,51.63209772416667,27.430882657083334,24.20121506708333,-3563424935.4989324,7508025507.185842,32255922497.50681,32255922467.409855,32255922467.58057,7696346917.283429,8524509523.6599455,8524509523.697052,7696347719.750252,8524509882.6026125,8524509918.935946,33968147167.149223,-3563424927.420347,-2566167118.5989323,9.0,-2879550209.6215057,-3563424939.692322,-3563423946.604344,-3563424944.083288,-3563424940.954864,-3563424942.494927,24409785156.801395,24409785163.909336,24409785154.59757,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,6576710333.742375,-2877346213.7682605,-3563424850.638981,-3563424850.377571,-3563424854.408028,-2879550210.0398574,24130415469.000496,4533216831.114789,7508025420.839658,7508025420.870921,-3563424944.2260895,22143202162.532925,-30780745.761249978,7508025431.839175,4.821958333333334,16.71966666666667,9.322291666666667,8.531208333333334,68.75358333333334,-3563424854.26596,-3563424860.710627,-3563424857.5371475,22863314617.534653,24892153482.812508,24892153489.537506,-4.160790666558155,166.0
